,0,1,2,3,4
2012-09-07,3035 智原 (半導體業),6147 頎邦 (半導體業),2458 義隆 (半導體業),1101 台泥 (水泥工業),3034 聯詠 (半導體業)
2012-09-10,2392 正崴 (電子零組件業),2409 友達 (光電業),2542 興富發 (建材營造),2545 皇翔 (建材營造),6176 瑞儀 (光電業)
2012-09-11,2392 正崴 (電子零組件業),2409 友達 (光電業),6176 瑞儀 (光電業),5489 彩富 (其他電子業),9945 潤泰新 (其他)
2012-09-12,2409 友達 (光電業),6143 振曜 (通信網路業),9945 潤泰新 (其他),6176 瑞儀 (光電業),2392 正崴 (電子零組件業)
2012-09-13,2458 義隆 (半導體業),3034 聯詠 (半導體業),3041 揚智 (半導體業),9945 潤泰新 (其他),3673 TPK-KY (光電業)
2012-09-14,2409 友達 (光電業),2885 元大金 (金融保險業),2392 正崴 (電子零組件業),2891 中信金 (金融保險業),2886 兆豐金 (金融保險業)
2012-09-17,2891 中信金 (金融保險業),2885 元大金 (金融保險業),2903 遠百 (貿易百貨),2886 兆豐金 (金融保險業),2915 潤泰全 (貿易百貨)
2012-09-18,2885 元大金 (金融保險業),2903 遠百 (貿易百貨),2915 潤泰全 (貿易百貨),2881 富邦金 (金融保險業),5907 大洋-KY (貿易百貨)
2012-09-19,3406 玉晶光 (光電業),4935 茂林-KY (光電業),2107 厚生 (橡膠工業),6269 台郡 (電子零組件業),6153 嘉聯益 (電子零組件業)
2012-09-20,2915 潤泰全 (貿易百貨),3042 晶技 (電子零組件業),2439 美律 (通信網路業),1810 和成 (玻璃陶瓷),9945 潤泰新 (其他)
2012-09-21,3042 晶技 (電子零組件業),2395 研華 (電腦及週邊設備業),2327 國巨 (電子零組件業),2456 奇力新 (其他),
2012-09-24,3042 晶技 (電子零組件業),3376 新日興 (電子零組件業),2392 正崴 (電子零組件業),2489 瑞軒 (光電業),9945 潤泰新 (其他)
2012-09-25,4108 懷特 (生技醫療業),9945 潤泰新 (其他),3042 晶技 (電子零組件業),2542 興富發 (建材營造),5534 長虹 (建材營造)
2012-09-26,1762 中化生 (生技醫療業),4108 懷特 (生技醫療業),9945 潤泰新 (其他),1707 葡萄王 (生技醫療業),2501 國建 (建材營造)
2012-09-27,3481 群創 (光電業),4142 國光生 (生技醫療業),1762 中化生 (生技醫療業),2392 正崴 (電子零組件業),1707 葡萄王 (生技醫療業)
2012-09-28,4142 國光生 (生技醫療業),2392 正崴 (電子零組件業),6143 振曜 (通信網路業),9911 櫻花 (居家生活),8422 可寧衛 (綠能環保)
2012-10-01,4105 東洋 (生技醫療業),1707 葡萄王 (生技醫療業),4108 懷特 (生技醫療業),2106 建大 (橡膠工業),9911 櫻花 (居家生活)
2012-10-02,2439 美律 (通信網路業),2915 潤泰全 (貿易百貨),1707 葡萄王 (生技醫療業),4119 旭富 (生技醫療業),4108 懷特 (生技醫療業)
2012-10-03,2392 正崴 (電子零組件業),2439 美律 (通信網路業),9911 櫻花 (居家生活),2317 鴻海 (其他電子業),6245 立端 (通信網路業)
2012-10-04,4979 華星光 (通信網路業),2317 鴻海 (其他電子業),4904 遠傳 (通信網路業),3303 岱稜 (其他電子業),9911 櫻花 (居家生活)
