,0,1,2,3,4
2012-07-13,2891 中信金 (金融),4904 遠傳 (大數據),2886 兆豐金 (金融),2723 美食-KY (食品),1702 南僑 (食品)
2012-07-16,9904 寶成 (其他),2891 中信金 (金融),4904 遠傳 (大數據),1301 台塑 (石化及塑橡膠),9907 統一實 (其他)
2012-07-17,9904 寶成 (其他),2105 正新 (石化及塑橡膠),2106 建大 (其他),1301 台塑 (石化及塑橡膠),9907 統一實 (其他)
2012-07-18,9904 寶成 (其他),1789 神隆 (製藥),9907 統一實 (其他),1301 台塑 (石化及塑橡膠),1314 中石化 (石化及塑橡膠)
2012-07-19,1301 台塑 (石化及塑橡膠),1314 中石化 (石化及塑橡膠),9904 寶成 (其他),2497 怡利電 (其他),2891 中信金 (金融)
2012-07-20,1301 台塑 (石化及塑橡膠),1314 中石化 (石化及塑橡膠),9945 潤泰新 (建材營造),1712 興農 (石化及塑橡膠),1580 新麥 (電機機械)
2012-07-23,1712 興農 (石化及塑橡膠),4105 東洋 (製藥),2105 正新 (石化及塑橡膠),9945 潤泰新 (建材營造),5534 長虹 (建材營造)
2012-07-24,2105 正新 (石化及塑橡膠),5530 龍巖 (其他),8299 群聯 (半導體),1722 台肥 (其他),1712 興農 (石化及塑橡膠)
2012-07-25,5530 龍巖 (其他),2105 正新 (石化及塑橡膠),4141 龍燈-KY (其他),1722 台肥 (其他),9904 寶成 (其他)
2012-07-26,2915 潤泰全 (貿易百貨),5530 龍巖 (其他),9904 寶成 (其他),2887 台新新光金 (金融),1722 台肥 (其他)
2012-07-27,2106 建大 (其他),2915 潤泰全 (貿易百貨),9904 寶成 (其他),2887 台新新光金 (金融),5530 龍巖 (其他)
2012-07-30,9907 統一實 (其他),2106 建大 (其他),9904 寶成 (其他),2887 台新新光金 (金融),2915 潤泰全 (貿易百貨)
2012-07-31,2887 台新新光金 (金融),9904 寶成 (其他),9907 統一實 (其他),9941 裕融 (其他),1722 台肥 (其他)
2012-08-01,2454 聯發科 (半導體),2450 神腦 (通信網路),8271 宇瞻 (半導體),2887 台新新光金 (金融),3545 敦泰 (半導體)
2012-08-03,2201 裕隆 (汽車),2454 聯發科 (半導體),3443 創意 (半導體),3545 敦泰 (半導體),2886 兆豐金 (金融)
2012-08-06,2886 兆豐金 (金融),2915 潤泰全 (貿易百貨),1722 台肥 (其他),2881 富邦金 (金融),1402 遠東新 (建材營造)
2012-08-07,1402 遠東新 (建材營造),2903 遠百 (貿易百貨),2915 潤泰全 (貿易百貨),4906 正文 (通信網路),9904 寶成 (其他)
2012-08-08,1216 統一 (食品),2201 裕隆 (汽車),1722 台肥 (其他),1455 集盛 (紡織),2497 怡利電 (其他)
2012-08-09,4958 臻鼎-KY (印刷電路板),2317 鴻海 (通信網路),1718 中纖 (其他),2497 怡利電 (其他),2201 裕隆 (汽車)
2012-08-10,4958 臻鼎-KY (印刷電路板),3376 新日興 (電腦及週邊設備),6269 台郡 (印刷電路板),3454 晶睿 (電腦及週邊設備),2474 可成 (電腦及週邊設備)
2012-08-13,6153 嘉聯益 (印刷電路板),3673 TPK-KY (觸控面板),3653 健策 (半導體),2474 可成 (電腦及週邊設備),3545 敦泰 (半導體)
2012-08-14,6153 嘉聯益 (印刷電路板),3653 健策 (半導體),8086 宏捷科 (半導體),3545 敦泰 (半導體),3005 神基 (電腦及週邊設備)
2012-08-15,5203 訊連 (人工智慧),3653 健策 (半導體),8086 宏捷科 (半導體),4958 臻鼎-KY (印刷電路板),6153 嘉聯益 (印刷電路板)
2012-08-16,8086 宏捷科 (半導體),5234 達興材料 (半導體),3105 穩懋 (半導體),3390 旭軟 (印刷電路板),3673 TPK-KY (觸控面板)
2012-08-17,2548 華固 (建材營造),5234 達興材料 (半導體),2520 冠德 (建材營造),3105 穩懋 (半導體),2542 興富發 (建材營造)
2012-08-20,2536 宏普 (建材營造),2548 華固 (建材營造),3105 穩懋 (半導體),2354 鴻準 (其他),4958 臻鼎-KY (印刷電路板)
2012-08-21,2542 興富發 (建材營造),2325 矽品 (半導體),3653 健策 (半導體),2548 華固 (建材營造),3443 創意 (半導體)
2012-08-22,5371 中光電 (人工智慧),2511 太子 (建材營造),8406 金可-KY (醫療器材),2548 華固 (建材營造),5534 長虹 (建材營造)
2012-08-23,2884 玉山金 (金融),2891 中信金 (金融),3037 欣興 (印刷電路板),4906 正文 (通信網路),4933 友輝 (平面顯示器)
2012-08-24,4906 正文 (通信網路),2884 玉山金 (金融),2809 京城銀 (金融),4128 中天 (製藥),2450 神腦 (通信網路)
2012-08-27,3060 銘異 (電腦及週邊設備),4906 正文 (通信網路),4105 東洋 (製藥),1789 神隆 (製藥),5203 訊連 (人工智慧)
2012-08-28,6217 中探針 (連接器),2515 中工 (建材營造),3176 基亞 (製藥),2536 宏普 (建材營造),5534 長虹 (建材營造)
2012-08-29,6217 中探針 (連接器),2511 太子 (建材營造),2536 宏普 (建材營造),4904 遠傳 (大數據),2462 良得電 (連接器)
2012-08-30,2449 京元電子 (半導體),6147 頎邦 (半導體),8016 矽創 (半導體),3454 晶睿 (電腦及週邊設備),3376 新日興 (電腦及週邊設備)
2012-08-31,6147 頎邦 (半導體),5347 世界 (半導體),8016 矽創 (半導體),2511 太子 (建材營造),4906 正文 (通信網路)
2012-09-03,6147 頎邦 (半導體),3545 敦泰 (半導體),5347 世界 (半導體),8016 矽創 (半導體),4958 臻鼎-KY (印刷電路板)
2012-09-04,6147 頎邦 (半導體),3545 敦泰 (半導體),5347 世界 (半導體),3035 智原 (半導體),2337 旺宏 (半導體)
2012-09-05,3545 敦泰 (半導體),3035 智原 (半導體),6147 頎邦 (半導體),2547 日勝生 (建材營造),5347 世界 (半導體)
2012-09-06,2392 正崴 (平面顯示器),2547 日勝生 (建材營造),2545 皇翔 (建材營造),5522 遠雄 (建材營造),4966 譜瑞-KY (元宇宙)
2012-09-07,3035 智原 (半導體),2392 正崴 (平面顯示器),2409 友達 (太陽能產業),6147 頎邦 (半導體),2458 義隆 (半導體)
2012-09-10,1101 台泥 (水泥),2392 正崴 (平面顯示器),2409 友達 (太陽能產業),2542 興富發 (建材營造),2545 皇翔 (建材營造)
2012-09-11,2392 正崴 (平面顯示器),1101 台泥 (水泥),2409 友達 (太陽能產業),6176 瑞儀 (平面顯示器),9945 潤泰新 (建材營造)
2012-09-12,3576 聯合再生 (太陽能產業),1101 台泥 (水泥),2409 友達 (太陽能產業),6143 振曜 (平面顯示器),2392 正崴 (平面顯示器)
2012-09-13,2458 義隆 (半導體),1402 遠東新 (建材營造),3034 聯詠 (半導體),3556 禾瑞亞 (半導體),3041 揚智 (半導體)
2012-09-14,2409 友達 (太陽能產業),2885 元大金 (金融),1605 華新 (太陽能產業),1718 中纖 (其他),1722 台肥 (其他)
2012-09-17,2891 中信金 (金融),2885 元大金 (金融),1718 中纖 (其他),2498 宏達電 (人工智慧),1722 台肥 (其他)
2012-09-18,2885 元大金 (金融),2882 國泰金 (金融),2498 宏達電 (人工智慧),2201 裕隆 (汽車),2903 遠百 (貿易百貨)
2012-09-19,3406 玉晶光 (LED照明產業),1314 中石化 (石化及塑橡膠),1305 華夏 (石化及塑橡膠),1409 新纖 (石化及塑橡膠),2049 上銀 (自動化)
2012-09-20,3149 正達 (建材營造),2915 潤泰全 (貿易百貨),2439 美律 (能源元件),5007 三星 (鋼鐵),3042 晶技 (被動元件)
2012-09-21,1447 力鵬 (紡織),1444 力麗 (紡織),3042 晶技 (被動元件),8121 越峰 (被動元件),1101 台泥 (水泥)
2012-09-24,1447 力鵬 (紡織),3376 新日興 (電腦及週邊設備),3042 晶技 (被動元件),2504 國產 (建材營造),2534 宏盛 (建材營造)
2012-09-25,2504 國產 (建材營造),4108 懷特 (製藥),9945 潤泰新 (建材營造),3042 晶技 (被動元件),2542 興富發 (建材營造)
2012-09-26,3176 基亞 (製藥),2504 國產 (建材營造),1402 遠東新 (建材營造),1762 中化生 (製藥),4108 懷特 (製藥)
2012-09-27,2101 南港 (汽車),4142 國光生 (製藥),3481 群創 (平面顯示器),1762 中化生 (製藥),2201 裕隆 (汽車)
2012-09-28,2204 中華 (汽車),4162 智擎 (製藥),4142 國光生 (製藥),9904 寶成 (其他),2392 正崴 (平面顯示器)
2012-10-01,4105 東洋 (製藥),1707 葡萄王 (食品生技),2106 建大 (其他),4728 雙美 (醫療器材),4108 懷特 (製藥)
2012-10-02,2439 美律 (能源元件),2915 潤泰全 (貿易百貨),1707 葡萄王 (食品生技),8432 東生華 (製藥),1733 五鼎 (醫療器材)
