,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2012-07-13,4904 遠傳 (大數據),2890 永豐金 (金融),2886 兆豐金 (金融),2884 玉山金 (金融),1476 儒鴻 (紡織),2892 第一金 (金融),2885 元大金 (金融),,,,,,,,
2012-07-16,4904 遠傳 (大數據),2884 玉山金 (金融),2890 永豐金 (金融),,,,,,,,,,,,
2012-07-17,2105 正新 (石化及塑橡膠),2892 第一金 (金融),2890 永豐金 (金融),,,,,,,,,,,,
2012-07-18,3045 台灣大 (通信網路),2892 第一金 (金融),2317 鴻海 (通信網路),2887 台新新光金 (金融),1477 聚陽 (紡織),,,,,,,,,,
2012-07-19,9914 美利達 (休閒娛樂),2892 第一金 (金融),2887 台新新光金 (金融),,,,,,,,,,,,
2012-07-20,6121 新普 (能源元件),2105 正新 (石化及塑橡膠),2439 美律 (能源元件),,,,,,,,,,,,
2012-07-23,2105 正新 (石化及塑橡膠),4904 遠傳 (大數據),6269 台郡 (印刷電路板),2328 廣宇 (印刷電路板),,,,,,,,,,,
2012-07-24,2885 元大金 (金融),2355 敬鵬 (印刷電路板),2890 永豐金 (金融),6269 台郡 (印刷電路板),2880 華南金 (金融),2887 台新新光金 (金融),1303 南亞 (印刷電路板),2328 廣宇 (印刷電路板),,,,,,,
2012-07-25,2105 正新 (石化及塑橡膠),2886 兆豐金 (金融),2890 永豐金 (金融),2887 台新新光金 (金融),,,,,,,,,,,
2012-07-26,2887 台新新光金 (金融),2385 群光 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),3231 緯創 (電腦及週邊設備),2890 永豐金 (金融),2886 兆豐金 (金融),2059 川湖 (其他),,,,,,,,
2012-07-27,2887 台新新光金 (金融),2886 兆豐金 (金融),3376 新日興 (電腦及週邊設備),2385 群光 (電腦及週邊設備),2885 元大金 (金融),2059 川湖 (其他),3005 神基 (電腦及週邊設備),2892 第一金 (金融),,,,,,,
2012-07-30,4938 和碩 (半導體),2887 台新新光金 (金融),3189 景碩 (半導體),2886 兆豐金 (金融),2454 聯發科 (半導體),6147 頎邦 (半導體),9939 宏全 (石化及塑橡膠),2379 瑞昱 (半導體),,,,,,,
2012-07-31,2887 台新新光金 (金融),4904 遠傳 (大數據),5871 中租-KY (太陽能產業),2409 友達 (太陽能產業),4958 臻鼎-KY (印刷電路板),6153 嘉聯益 (印刷電路板),,,,,,,,,
2012-08-01,2454 聯發科 (半導體),2887 台新新光金 (金融),3035 智原 (半導體),2105 正新 (石化及塑橡膠),2458 義隆 (半導體),4938 和碩 (半導體),2449 京元電子 (半導體),2347 聯強 (半導體),3036 文曄 (半導體),2379 瑞昱 (半導體),,,,,
2012-08-03,2454 聯發科 (半導體),2886 兆豐金 (金融),2887 台新新光金 (金融),3702 大聯大 (半導體),2890 永豐金 (金融),3035 智原 (半導體),4938 和碩 (半導體),2449 京元電子 (半導體),2458 義隆 (半導體),2379 瑞昱 (半導體),,,,,
2012-08-06,2886 兆豐金 (金融),2892 第一金 (金融),2890 永豐金 (金融),,,,,,,,,,,,
2012-08-07,2354 鴻準 (其他),,,,,,,,,,,,,,
2012-08-08,2059 川湖 (其他),,,,,,,,,,,,,,
2012-08-09,3376 新日興 (電腦及週邊設備),4958 臻鼎-KY (印刷電路板),2317 鴻海 (通信網路),2385 群光 (電腦及週邊設備),2355 敬鵬 (印刷電路板),3005 神基 (電腦及週邊設備),2328 廣宇 (印刷電路板),6274 台燿 (印刷電路板),3231 緯創 (電腦及週邊設備),,,,,,
2012-08-10,2354 鴻準 (其他),4958 臻鼎-KY (印刷電路板),3376 新日興 (電腦及週邊設備),6269 台郡 (印刷電路板),6153 嘉聯益 (印刷電路板),4938 和碩 (半導體),3005 神基 (電腦及週邊設備),3702 大聯大 (半導體),2303 聯電 (半導體),2355 敬鵬 (印刷電路板),2454 聯發科 (半導體),1303 南亞 (印刷電路板),2330 台積電 (半導體),3034 聯詠 (半導體),2379 瑞昱 (半導體)
2012-08-13,6153 嘉聯益 (印刷電路板),6271 同欣電 (LED照明產業),3105 穩懋 (半導體),2454 聯發科 (半導體),3189 景碩 (半導體),4958 臻鼎-KY (印刷電路板),3005 神基 (電腦及週邊設備),2355 敬鵬 (印刷電路板),3034 聯詠 (半導體),3035 智原 (半導體),2330 台積電 (半導體),2379 瑞昱 (半導體),8086 宏捷科 (半導體),2303 聯電 (半導體),3324 雙鴻 (電腦及週邊設備)
2012-08-14,6153 嘉聯益 (印刷電路板),8086 宏捷科 (半導體),3005 神基 (電腦及週邊設備),3189 景碩 (半導體),4958 臻鼎-KY (印刷電路板),3034 聯詠 (半導體),3035 智原 (半導體),2328 廣宇 (印刷電路板),3105 穩懋 (半導體),8039 台虹 (印刷電路板),2379 瑞昱 (半導體),3702 大聯大 (半導體),1303 南亞 (印刷電路板),2385 群光 (電腦及週邊設備),3443 創意 (半導體)
2012-08-15,8086 宏捷科 (半導體),3406 玉晶光 (LED照明產業),4938 和碩 (半導體),6153 嘉聯益 (印刷電路板),4958 臻鼎-KY (印刷電路板),3035 智原 (半導體),3105 穩懋 (半導體),8039 台虹 (印刷電路板),1303 南亞 (印刷電路板),2379 瑞昱 (半導體),3443 創意 (半導體),4919 新唐 (半導體),2449 京元電子 (半導體),3034 聯詠 (半導體),1504 東元 (人工智慧)
2012-08-16,8086 宏捷科 (半導體),3042 晶技 (被動元件),3105 穩懋 (半導體),2542 興富發 (建材營造),6271 同欣電 (LED照明產業),3406 玉晶光 (LED照明產業),5534 長虹 (建材營造),2337 旺宏 (半導體),1402 遠東新 (建材營造),2458 義隆 (半導體),2379 瑞昱 (半導體),8299 群聯 (半導體),3443 創意 (半導體),6147 頎邦 (半導體),2515 中工 (建材營造)
2012-08-17,3042 晶技 (被動元件),2542 興富發 (建材營造),3105 穩懋 (半導體),3443 創意 (半導體),8086 宏捷科 (半導體),2458 義隆 (半導體),2454 聯發科 (半導體),3034 聯詠 (半導體),2337 旺宏 (半導體),1402 遠東新 (建材營造),2379 瑞昱 (半導體),3702 大聯大 (半導體),2515 中工 (建材營造),,
2012-08-20,2354 鴻準 (其他),3105 穩懋 (半導體),4958 臻鼎-KY (印刷電路板),2542 興富發 (建材營造),3443 創意 (半導體),4938 和碩 (半導體),2458 義隆 (半導體),8086 宏捷科 (半導體),3034 聯詠 (半導體),1402 遠東新 (建材營造),2337 旺宏 (半導體),2379 瑞昱 (半導體),,,
2012-08-21,2542 興富發 (建材營造),1402 遠東新 (建材營造),3443 創意 (半導體),2379 瑞昱 (半導體),2337 旺宏 (半導體),3105 穩懋 (半導體),4958 臻鼎-KY (印刷電路板),3035 智原 (半導體),8086 宏捷科 (半導體),2303 聯電 (半導體),3680 家登 (半導體),6153 嘉聯益 (印刷電路板),,,
2012-08-22,2337 旺宏 (半導體),2449 京元電子 (半導體),3189 景碩 (半導體),4919 新唐 (半導體),,,,,,,,,,,
2012-08-23,2884 玉山金 (金融),2891 中信金 (金融),3034 聯詠 (半導體),6257 矽格 (半導體),2890 永豐金 (金融),2887 台新新光金 (金融),6147 頎邦 (半導體),2308 台達電 (LED照明產業),3189 景碩 (半導體),,,,,,
2012-08-24,2884 玉山金 (金融),2890 永豐金 (金融),2887 台新新光金 (金融),,,,,,,,,,,,
2012-08-27,6282 康舒 (平面顯示器),6176 瑞儀 (平面顯示器),6285 啟碁 (太空衛星科技),,,,,,,,,,,,
2012-08-28,2385 群光 (電腦及週邊設備),1565 精華 (醫療器材),,,,,,,,,,,,,
2012-08-29,6188 廣明 (電腦及週邊設備),2385 群光 (電腦及週邊設備),9945 潤泰新 (建材營造),,,,,,,,,,,,
2012-08-30,2449 京元電子 (半導體),6147 頎邦 (半導體),2454 聯發科 (半導體),3376 新日興 (電腦及週邊設備),6188 廣明 (電腦及週邊設備),3034 聯詠 (半導體),2354 鴻準 (其他),3443 創意 (半導體),6257 矽格 (半導體),3189 景碩 (半導體),,,,,
2012-08-31,5347 世界 (半導體),6147 頎邦 (半導體),2449 京元電子 (半導體),2354 鴻準 (其他),3443 創意 (半導體),6282 康舒 (平面顯示器),2489 瑞軒 (平面顯示器),3189 景碩 (半導體),1722 台肥 (其他),4919 新唐 (半導體),,,,,
2012-09-03,6147 頎邦 (半導體),5347 世界 (半導體),2354 鴻準 (其他),3035 智原 (半導體),4938 和碩 (半導體),2449 京元電子 (半導體),3189 景碩 (半導體),2458 義隆 (半導體),3533 嘉澤 (連接器),2330 台積電 (半導體),3443 創意 (半導體),2059 川湖 (其他),6121 新普 (能源元件),1722 台肥 (其他),2337 旺宏 (半導體)
2012-09-04,6147 頎邦 (半導體),5347 世界 (半導體),3035 智原 (半導體),4958 臻鼎-KY (印刷電路板),2337 旺宏 (半導體),3034 聯詠 (半導體),4938 和碩 (半導體),2355 敬鵬 (印刷電路板),6271 同欣電 (LED照明產業),2382 廣達 (運動科技),2449 京元電子 (半導體),6269 台郡 (印刷電路板),2313 華通 (印刷電路板),2393 億光 (LED照明產業),2458 義隆 (半導體)
2012-09-05,3035 智原 (半導體),6147 頎邦 (半導體),3034 聯詠 (半導體),3042 晶技 (被動元件),5347 世界 (半導體),2385 群光 (電腦及週邊設備),2382 廣達 (運動科技),4938 和碩 (半導體),3702 大聯大 (半導體),2458 義隆 (半導體),6188 廣明 (電腦及週邊設備),,,,
2012-09-06,3035 智原 (半導體),3034 聯詠 (半導體),6147 頎邦 (半導體),5347 世界 (半導體),6176 瑞儀 (平面顯示器),2458 義隆 (半導體),2379 瑞昱 (半導體),3702 大聯大 (半導體),5534 長虹 (建材營造),4938 和碩 (半導體),,,,,
2012-09-07,3035 智原 (半導體),6147 頎邦 (半導體),2458 義隆 (半導體),1101 台泥 (水泥),3034 聯詠 (半導體),6176 瑞儀 (平面顯示器),8163 達方 (平面顯示器),5347 世界 (半導體),2379 瑞昱 (半導體),4938 和碩 (半導體),3105 穩懋 (半導體),8086 宏捷科 (半導體),3189 景碩 (半導體),3702 大聯大 (半導體),
2012-09-10,3035 智原 (半導體),2458 義隆 (半導體),2392 正崴 (平面顯示器),3443 創意 (半導體),2454 聯發科 (半導體),2542 興富發 (建材營造),6176 瑞儀 (平面顯示器),2337 旺宏 (半導體),3105 穩懋 (半導體),2352 佳世達 (人工智慧),9945 潤泰新 (建材營造),6257 矽格 (半導體),1102 亞泥 (水泥),2449 京元電子 (半導體),
2012-09-11,2392 正崴 (平面顯示器),2915 潤泰全 (貿易百貨),6176 瑞儀 (平面顯示器),9945 潤泰新 (建材營造),2542 興富發 (建材營造),,,,,,,,,,
2012-09-12,2915 潤泰全 (貿易百貨),2392 正崴 (平面顯示器),6176 瑞儀 (平面顯示器),3227 原相 (人工智慧),,,,,,,,,,,
2012-09-13,2915 潤泰全 (貿易百貨),9945 潤泰新 (建材營造),3673 TPK-KY (觸控面板),2392 正崴 (平面顯示器),3227 原相 (人工智慧),,,,,,,,,,
2012-09-14,2409 友達 (太陽能產業),2885 元大金 (金融),2891 中信金 (金融),2886 兆豐金 (金融),9945 潤泰新 (建材營造),3673 TPK-KY (觸控面板),2881 富邦金 (金融),2884 玉山金 (金融),2883 凱基金 (金融),,,,,,
2012-09-17,2891 中信金 (金融),2885 元大金 (金融),2886 兆豐金 (金融),2890 永豐金 (金融),2883 凱基金 (金融),2881 富邦金 (金融),2884 玉山金 (金融),2913 農林 (其他),,,,,,,
2012-09-18,2885 元大金 (金融),2915 潤泰全 (貿易百貨),2881 富邦金 (金融),2884 玉山金 (金融),2834 臺企銀 (金融),,,,,,,,,,
2012-09-19,3406 玉晶光 (LED照明產業),2915 潤泰全 (貿易百貨),2393 億光 (LED照明產業),,,,,,,,,,,,
2012-09-20,3042 晶技 (被動元件),,,,,,,,,,,,,,
2012-09-21,2439 美律 (能源元件),3042 晶技 (被動元件),1565 精華 (醫療器材),,,,,,,,,,,,
2012-09-24,3042 晶技 (被動元件),2439 美律 (能源元件),3376 新日興 (電腦及週邊設備),,,,,,,,,,,,
2012-09-25,3376 新日興 (電腦及週邊設備),1565 精華 (醫療器材),3042 晶技 (被動元件),9945 潤泰新 (建材營造),2542 興富發 (建材營造),5534 長虹 (建材營造),,,,,,,,,
2012-09-26,2308 台達電 (LED照明產業),,,,,,,,,,,,,,
2012-09-27,3481 群創 (平面顯示器),1707 葡萄王 (食品生技),2392 正崴 (平面顯示器),,,,,,,,,,,,
2012-09-28,1476 儒鴻 (紡織),2392 正崴 (平面顯示器),2489 瑞軒 (平面顯示器),,,,,,,,,,,,
2012-10-01,1476 儒鴻 (紡織),2915 潤泰全 (貿易百貨),1707 葡萄王 (食品生技),,,,,,,,,,,,
2012-10-02,2439 美律 (能源元件),2915 潤泰全 (貿易百貨),1707 葡萄王 (食品生技),,,,,,,,,,,,
2012-10-03,2392 正崴 (平面顯示器),1476 儒鴻 (紡織),2439 美律 (能源元件),2317 鴻海 (通信網路),6121 新普 (能源元件),,,,,,,,,,
2012-10-04,2915 潤泰全 (貿易百貨),2439 美律 (能源元件),1476 儒鴻 (紡織),9914 美利達 (休閒娛樂),2317 鴻海 (通信網路),6121 新普 (能源元件),,,,,,,,,
2012-10-05,2915 潤泰全 (貿易百貨),9914 美利達 (休閒娛樂),6271 同欣電 (LED照明產業),3406 玉晶光 (LED照明產業),5388 中磊 (通信網路),2317 鴻海 (通信網路),3481 群創 (平面顯示器),6278 台表科 (LED照明產業),2393 億光 (LED照明產業),,,,,,
2012-10-08,9914 美利達 (休閒娛樂),2915 潤泰全 (貿易百貨),1476 儒鴻 (紡織),5388 中磊 (通信網路),,,,,,,,,,,
2012-10-09,9914 美利達 (休閒娛樂),1476 儒鴻 (紡織),2915 潤泰全 (貿易百貨),,,,,,,,,,,,
2012-10-11,4904 遠傳 (大數據),9914 美利達 (休閒娛樂),,,,,,,,,,,,,
2012-10-12,1477 聚陽 (紡織),9914 美利達 (休閒娛樂),,,,,,,,,,,,,
2012-10-16,2409 友達 (太陽能產業),2354 鴻準 (其他),5871 中租-KY (太陽能產業),,,,,,,,,,,,
2012-10-17,3481 群創 (平面顯示器),6176 瑞儀 (平面顯示器),2489 瑞軒 (平面顯示器),,,,,,,,,,,,
2012-10-18,6271 同欣電 (LED照明產業),,,,,,,,,,,,,,
2012-10-19,3481 群創 (平面顯示器),2409 友達 (太陽能產業),2489 瑞軒 (平面顯示器),6176 瑞儀 (平面顯示器),5871 中租-KY (太陽能產業),,,,,,,,,,
2012-10-22,3481 群創 (平面顯示器),2489 瑞軒 (平面顯示器),3105 穩懋 (半導體),2454 聯發科 (半導體),6147 頎邦 (半導體),2330 台積電 (半導體),6176 瑞儀 (平面顯示器),,,,,,,,
2012-10-23,3481 群創 (平面顯示器),2489 瑞軒 (平面顯示器),6176 瑞儀 (平面顯示器),9914 美利達 (休閒娛樂),,,,,,,,,,,
2012-10-24,3045 台灣大 (通信網路),1477 聚陽 (紡織),2317 鴻海 (通信網路),5388 中磊 (通信網路),,,,,,,,,,,
2012-10-25,2890 永豐金 (金融),2883 凱基金 (金融),2884 玉山金 (金融),2882 國泰金 (金融),,,,,,,,,,,
2012-10-26,9914 美利達 (休閒娛樂),6269 台郡 (印刷電路板),4958 臻鼎-KY (印刷電路板),6153 嘉聯益 (印刷電路板),,,,,,,,,,,
2012-10-29,3045 台灣大 (通信網路),4904 遠傳 (大數據),2317 鴻海 (通信網路),6505 台塑化 (油電燃氣),,,,,,,,,,,
2012-10-30,2317 鴻海 (通信網路),6505 台塑化 (油電燃氣),3045 台灣大 (通信網路),4904 遠傳 (大數據),,,,,,,,,,,
2012-10-31,5871 中租-KY (太陽能產業),2409 友達 (太陽能產業),2886 兆豐金 (金融),3045 台灣大 (通信網路),6505 台塑化 (油電燃氣),2884 玉山金 (金融),,,,,,,,,
2012-11-01,2409 友達 (太陽能產業),3008 大立光 (電腦及週邊設備),5871 中租-KY (太陽能產業),3376 新日興 (電腦及週邊設備),3673 TPK-KY (觸控面板),1477 聚陽 (紡織),,,,,,,,,
2012-11-02,2409 友達 (太陽能產業),1477 聚陽 (紡織),5871 中租-KY (太陽能產業),3673 TPK-KY (觸控面板),,,,,,,,,,,
2012-11-05,3673 TPK-KY (觸控面板),2409 友達 (太陽能產業),5871 中租-KY (太陽能產業),,,,,,,,,,,,
