,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2020-02-07,3227 原相 (人工智慧),2884 玉山金 (金融),1590 亞德客-KY (電機機械),5880 合庫金 (金融),2882 國泰金 (金融),2892 第一金 (金融),2887 台新新光金 (金融),2881 富邦金 (金融),2883 凱基金 (金融),2880 華南金 (金融),3045 台灣大 (通信網路),,,,
2020-02-10,2377 微星 (電腦及週邊設備),,,,,,,,,,,,,,
2020-02-11,3227 原相 (人工智慧),2376 技嘉 (電動車輛產業),2345 智邦 (通信網路),,,,,,,,,,,,
2020-02-12,3227 原相 (人工智慧),6269 台郡 (印刷電路板),6213 聯茂 (印刷電路板),3105 穩懋 (半導體),3037 欣興 (印刷電路板),3653 健策 (半導體),3374 精材 (半導體),2313 華通 (印刷電路板),2455 全新 (半導體),2368 金像電 (印刷電路板),8046 南電 (印刷電路板),2345 智邦 (通信網路),3034 聯詠 (半導體),2458 義隆 (半導體),8086 宏捷科 (半導體)
2020-02-13,6269 台郡 (印刷電路板),2376 技嘉 (電動車輛產業),8046 南電 (印刷電路板),2368 金像電 (印刷電路板),2313 華通 (印刷電路板),,,,,,,,,,
2020-02-14,6269 台郡 (印刷電路板),6278 台表科 (LED照明產業),2368 金像電 (印刷電路板),8046 南電 (印刷電路板),8039 台虹 (印刷電路板),3260 威剛 (LED照明產業),3005 神基 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備),2385 群光 (電腦及週邊設備),,,,,,
2020-02-17,8046 南電 (印刷電路板),8039 台虹 (印刷電路板),3042 晶技 (被動元件),3706 神達 (人工智慧),2308 台達電 (LED照明產業),3152 璟德 (通信網路),,,,,,,,,
2020-02-18,3706 神達 (人工智慧),3042 晶技 (被動元件),3227 原相 (人工智慧),,,,,,,,,,,,
2020-02-19,3293 鈊象 (休閒娛樂),3042 晶技 (被動元件),,,,,,,,,,,,,
2020-02-20,3706 神達 (人工智慧),3227 原相 (人工智慧),,,,,,,,,,,,,
2020-02-21,8046 南電 (印刷電路板),,,,,,,,,,,,,,
2020-02-24,8046 南電 (印刷電路板),3293 鈊象 (休閒娛樂),5457 宣德 (太空衛星科技),6274 台燿 (印刷電路板),2881 富邦金 (金融),2882 國泰金 (金融),2892 第一金 (金融),2890 永豐金 (金融),2885 元大金 (金融),,,,,,
2020-02-25,8046 南電 (印刷電路板),3706 神達 (人工智慧),3037 欣興 (印刷電路板),2885 元大金 (金融),3042 晶技 (被動元件),2892 第一金 (金融),2890 永豐金 (金融),2882 國泰金 (金融),2881 富邦金 (金融),,,,,,
2020-02-26,3227 原相 (人工智慧),8046 南電 (印刷電路板),2882 國泰金 (金融),2892 第一金 (金融),2885 元大金 (金融),,,,,,,,,,
2020-02-27,9958 世紀鋼 (建材營造),2892 第一金 (金融),5876 上海商銀 (金融),2890 永豐金 (金融),,,,,,,,,,,
2020-03-02,9958 世紀鋼 (建材營造),2890 永豐金 (金融),2881 富邦金 (金融),2892 第一金 (金融),5876 上海商銀 (金融),,,,,,,,,,
2020-03-03,8046 南電 (印刷電路板),6274 台燿 (印刷電路板),5274 信驊 (半導體),8039 台虹 (印刷電路板),3105 穩懋 (半導體),2313 華通 (印刷電路板),6239 力成 (半導體),,,,,,,,
2020-03-04,3037 欣興 (印刷電路板),8046 南電 (印刷電路板),3661 世芯-KY (半導體),6274 台燿 (印刷電路板),2337 旺宏 (半導體),8086 宏捷科 (半導體),3374 精材 (半導體),2449 京元電子 (半導體),2454 聯發科 (半導體),2383 台光電 (印刷電路板),6239 力成 (半導體),2455 全新 (半導體),,,
2020-03-05,6274 台燿 (印刷電路板),3037 欣興 (印刷電路板),8086 宏捷科 (半導體),2337 旺宏 (半導體),3374 精材 (半導體),8046 南電 (印刷電路板),3661 世芯-KY (半導體),2455 全新 (半導體),6239 力成 (半導體),2383 台光電 (印刷電路板),8358 金居 (印刷電路板),,,,
2020-03-06,2313 華通 (印刷電路板),6274 台燿 (印刷電路板),8046 南電 (印刷電路板),8086 宏捷科 (半導體),3037 欣興 (印刷電路板),3017 奇鋐 (電腦及週邊設備),5274 信驊 (半導體),3661 世芯-KY (半導體),3293 鈊象 (休閒娛樂),3374 精材 (半導體),2474 可成 (電腦及週邊設備),2455 全新 (半導體),3376 新日興 (電腦及週邊設備),,
2020-03-09,2313 華通 (印刷電路板),3037 欣興 (印刷電路板),9958 世紀鋼 (建材營造),3293 鈊象 (休閒娛樂),8046 南電 (印刷電路板),,,,,,,,,,
2020-03-10,2368 金像電 (印刷電路板),2337 旺宏 (半導體),8150 南茂 (半導體),3293 鈊象 (休閒娛樂),5269 祥碩 (半導體),2454 聯發科 (半導體),2303 聯電 (半導體),2383 台光電 (印刷電路板),2884 玉山金 (金融),2330 台積電 (半導體),2882 國泰金 (金融),2892 第一金 (金融),5880 合庫金 (金融),2887 台新新光金 (金融),2801 彰銀 (金融)
2020-03-11,2368 金像電 (印刷電路板),3042 晶技 (被動元件),6269 台郡 (印刷電路板),2383 台光電 (印刷電路板),3293 鈊象 (休閒娛樂),8150 南茂 (半導體),6274 台燿 (印刷電路板),2379 瑞昱 (半導體),5347 世界 (半導體),,,,,,
2020-03-13,9958 世紀鋼 (建材營造),2884 玉山金 (金融),,,,,,,,,,,,,
2020-03-17,6669 緯穎 (人工智慧),3227 原相 (人工智慧),,,,,,,,,,,,,
2020-03-18,4736 泰博 (醫療器材),,,,,,,,,,,,,,
2020-03-19,4736 泰博 (醫療器材),,,,,,,,,,,,,,
2020-03-20,4736 泰博 (醫療器材),3008 大立光 (電腦及週邊設備),5876 上海商銀 (金融),,,,,,,,,,,,
2020-03-23,3152 璟德 (通信網路),3533 嘉澤 (連接器),3081 聯亞 (通信網路),4736 泰博 (醫療器材),,,,,,,,,,,
2020-03-24,3533 嘉澤 (連接器),3152 璟德 (通信網路),3081 聯亞 (通信網路),2892 第一金 (金融),5876 上海商銀 (金融),,,,,,,,,,
2020-03-25,3037 欣興 (印刷電路板),3533 嘉澤 (連接器),6278 台表科 (LED照明產業),2313 華通 (印刷電路板),2368 金像電 (印刷電路板),2345 智邦 (通信網路),6213 聯茂 (印刷電路板),6271 同欣電 (LED照明產業),3152 璟德 (通信網路),6269 台郡 (印刷電路板),2383 台光電 (印刷電路板),3042 晶技 (被動元件),,,
2020-03-26,2313 華通 (印刷電路板),3661 世芯-KY (半導體),3653 健策 (半導體),3529 力旺 (半導體),3037 欣興 (印刷電路板),3533 嘉澤 (連接器),6510 精測 (半導體),2368 金像電 (印刷電路板),2379 瑞昱 (半導體),8046 南電 (印刷電路板),8086 宏捷科 (半導體),3044 健鼎 (印刷電路板),3711 日月光投控 (半導體),6213 聯茂 (印刷電路板),4938 和碩 (半導體)
2020-03-27,2313 華通 (印刷電路板),8046 南電 (印刷電路板),3037 欣興 (印刷電路板),6213 聯茂 (印刷電路板),3533 嘉澤 (連接器),1536 和大 (汽車),2383 台光電 (印刷電路板),3044 健鼎 (印刷電路板),,,,,,,
2020-03-30,8046 南電 (印刷電路板),2313 華通 (印刷電路板),6274 台燿 (印刷電路板),3533 嘉澤 (連接器),3044 健鼎 (印刷電路板),,,,,,,,,,
2020-03-31,2368 金像電 (印刷電路板),8046 南電 (印刷電路板),2376 技嘉 (電動車輛產業),2313 華通 (印刷電路板),6274 台燿 (印刷電路板),3044 健鼎 (印刷電路板),3293 鈊象 (休閒娛樂),,,,,,,,
2020-04-01,2368 金像電 (印刷電路板),2376 技嘉 (電動車輛產業),6274 台燿 (印刷電路板),3037 欣興 (印刷電路板),3293 鈊象 (休閒娛樂),2313 華通 (印刷電路板),6213 聯茂 (印刷電路板),3044 健鼎 (印刷電路板),3008 大立光 (電腦及週邊設備),,,,,,
2020-04-06,2376 技嘉 (電動車輛產業),2368 金像電 (印刷電路板),6213 聯茂 (印刷電路板),3293 鈊象 (休閒娛樂),1216 統一 (食品),2383 台光電 (印刷電路板),6274 台燿 (印刷電路板),2313 華通 (印刷電路板),3037 欣興 (印刷電路板),3044 健鼎 (印刷電路板),,,,,
2020-04-07,2313 華通 (印刷電路板),2408 南亞科 (半導體),2337 旺宏 (半導體),3037 欣興 (印刷電路板),3042 晶技 (被動元件),2383 台光電 (印刷電路板),2371 大同 (LED照明產業),6213 聯茂 (印刷電路板),3661 世芯-KY (半導體),4938 和碩 (半導體),3406 玉晶光 (LED照明產業),3189 景碩 (半導體),3653 健策 (半導體),6239 力成 (半導體),8299 群聯 (半導體)
2020-04-08,2408 南亞科 (半導體),2337 旺宏 (半導體),3037 欣興 (印刷電路板),2313 華通 (印刷電路板),8299 群聯 (半導體),6278 台表科 (LED照明產業),2371 大同 (LED照明產業),8086 宏捷科 (半導體),3406 玉晶光 (LED照明產業),6239 力成 (半導體),4938 和碩 (半導體),3105 穩懋 (半導體),2383 台光電 (印刷電路板),6271 同欣電 (LED照明產業),3711 日月光投控 (半導體)
2020-04-09,6278 台表科 (LED照明產業),3260 威剛 (LED照明產業),2308 台達電 (LED照明產業),1536 和大 (汽車),,,,,,,,,,,
2020-04-10,2421 建準 (平面顯示器),2327 國巨 (被動元件),8069 元太 (平面顯示器),,,,,,,,,,,,
2020-04-13,3037 欣興 (印刷電路板),2327 國巨 (被動元件),8046 南電 (印刷電路板),6269 台郡 (印刷電路板),2368 金像電 (印刷電路板),3042 晶技 (被動元件),2383 台光電 (印刷電路板),6213 聯茂 (印刷電路板),,,,,,,
2020-04-14,8046 南電 (印刷電路板),3037 欣興 (印刷電路板),3042 晶技 (被動元件),2327 國巨 (被動元件),2303 聯電 (半導體),6274 台燿 (印刷電路板),5347 世界 (半導體),6213 聯茂 (印刷電路板),2368 金像電 (印刷電路板),3653 健策 (半導體),2454 聯發科 (半導體),2383 台光電 (印刷電路板),3034 聯詠 (半導體),6147 頎邦 (半導體),2458 義隆 (半導體)
2020-04-15,3042 晶技 (被動元件),8046 南電 (印刷電路板),2368 金像電 (印刷電路板),6274 台燿 (印刷電路板),2327 國巨 (被動元件),6213 聯茂 (印刷電路板),2383 台光電 (印刷電路板),,,,,,,,
2020-04-16,3042 晶技 (被動元件),2327 國巨 (被動元件),3706 神達 (人工智慧),,,,,,,,,,,,
2020-04-17,3042 晶技 (被動元件),8046 南電 (印刷電路板),3037 欣興 (印刷電路板),6213 聯茂 (印刷電路板),2327 國巨 (被動元件),6274 台燿 (印刷電路板),,,,,,,,,
2020-04-20,2313 華通 (印刷電路板),8046 南電 (印刷電路板),3042 晶技 (被動元件),3037 欣興 (印刷電路板),2379 瑞昱 (半導體),3661 世芯-KY (半導體),6239 力成 (半導體),3189 景碩 (半導體),2449 京元電子 (半導體),3711 日月光投控 (半導體),4938 和碩 (半導體),8112 至上 (半導體),6274 台燿 (印刷電路板),,
2020-04-21,1590 亞德客-KY (電機機械),,,,,,,,,,,,,,
2020-04-22,1590 亞德客-KY (電機機械),,,,,,,,,,,,,,
2020-04-23,6121 新普 (能源元件),2474 可成 (電腦及週邊設備),1590 亞德客-KY (電機機械),,,,,,,,,,,,
2020-04-24,2337 旺宏 (半導體),6239 力成 (半導體),3152 璟德 (通信網路),2481 強茂 (半導體),2327 國巨 (被動元件),3042 晶技 (被動元件),2379 瑞昱 (半導體),3374 精材 (半導體),2345 智邦 (通信網路),8112 至上 (半導體),,,,,
2020-04-27,2303 聯電 (半導體),2327 國巨 (被動元件),9914 美利達 (休閒娛樂),3374 精材 (半導體),3042 晶技 (被動元件),8044 網家 (電子商務),3711 日月光投控 (半導體),2379 瑞昱 (半導體),5269 祥碩 (半導體),6239 力成 (半導體),4938 和碩 (半導體),3680 家登 (半導體),2330 台積電 (半導體),,
2020-04-28,2327 國巨 (被動元件),9914 美利達 (休閒娛樂),2368 金像電 (印刷電路板),6269 台郡 (印刷電路板),3037 欣興 (印刷電路板),8046 南電 (印刷電路板),3042 晶技 (被動元件),2313 華通 (印刷電路板),3008 大立光 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),2474 可成 (電腦及週邊設備),,,,
2020-04-29,3037 欣興 (印刷電路板),2368 金像電 (印刷電路板),8046 南電 (印刷電路板),6269 台郡 (印刷電路板),2313 華通 (印刷電路板),1590 亞德客-KY (電機機械),3008 大立光 (電腦及週邊設備),2474 可成 (電腦及週邊設備),2385 群光 (電腦及週邊設備),,,,,,
2020-04-30,3037 欣興 (印刷電路板),2313 華通 (印刷電路板),1590 亞德客-KY (電機機械),2368 金像電 (印刷電路板),8358 金居 (印刷電路板),8046 南電 (印刷電路板),6269 台郡 (印刷電路板),6274 台燿 (印刷電路板),,,,,,,
2020-05-04,2313 華通 (印刷電路板),3037 欣興 (印刷電路板),2337 旺宏 (半導體),2368 金像電 (印刷電路板),3374 精材 (半導體),4958 臻鼎-KY (印刷電路板),8358 金居 (印刷電路板),2383 台光電 (印刷電路板),3680 家登 (半導體),3006 晶豪科 (半導體),6147 頎邦 (半導體),2330 台積電 (半導體),6274 台燿 (印刷電路板),3034 聯詠 (半導體),8046 南電 (印刷電路板)
2020-05-05,4958 臻鼎-KY (印刷電路板),6274 台燿 (印刷電路板),8358 金居 (印刷電路板),3037 欣興 (印刷電路板),2383 台光電 (印刷電路板),2313 華通 (印刷電路板),2308 台達電 (LED照明產業),2368 金像電 (印刷電路板),6271 同欣電 (LED照明產業),8046 南電 (印刷電路板),,,,,
2020-05-06,4958 臻鼎-KY (印刷電路板),8358 金居 (印刷電路板),6274 台燿 (印刷電路板),2383 台光電 (印刷電路板),2313 華通 (印刷電路板),3037 欣興 (印刷電路板),2308 台達電 (LED照明產業),6271 同欣電 (LED照明產業),,,,,,,
2020-05-07,2313 華通 (印刷電路板),4958 臻鼎-KY (印刷電路板),6278 台表科 (LED照明產業),2383 台光電 (印刷電路板),6274 台燿 (印刷電路板),3037 欣興 (印刷電路板),6271 同欣電 (LED照明產業),3533 嘉澤 (連接器),6269 台郡 (印刷電路板),8046 南電 (印刷電路板),2308 台達電 (LED照明產業),,,,
2020-05-08,6278 台表科 (LED照明產業),2383 台光電 (印刷電路板),6274 台燿 (印刷電路板),6271 同欣電 (LED照明產業),3037 欣興 (印刷電路板),2313 華通 (印刷電路板),6239 力成 (半導體),4958 臻鼎-KY (印刷電路板),3406 玉晶光 (LED照明產業),8086 宏捷科 (半導體),3374 精材 (半導體),8299 群聯 (半導體),2455 全新 (半導體),2330 台積電 (半導體),2454 聯發科 (半導體)
2020-05-11,2313 華通 (印刷電路板),2383 台光電 (印刷電路板),6278 台表科 (LED照明產業),4958 臻鼎-KY (印刷電路板),3406 玉晶光 (LED照明產業),6213 聯茂 (印刷電路板),3037 欣興 (印刷電路板),8358 金居 (印刷電路板),3380 明泰 (太空衛星科技),5457 宣德 (太空衛星科技),8046 南電 (印刷電路板),2301 光寶科 (LED照明產業),5871 中租-KY (太陽能產業),6285 啟碁 (太空衛星科技),
2020-05-12,2313 華通 (印刷電路板),2376 技嘉 (電動車輛產業),3406 玉晶光 (LED照明產業),3037 欣興 (印刷電路板),6278 台表科 (LED照明產業),4958 臻鼎-KY (印刷電路板),2383 台光電 (印刷電路板),8046 南電 (印刷電路板),2301 光寶科 (LED照明產業),,,,,,
2020-05-13,2376 技嘉 (電動車輛產業),2313 華通 (印刷電路板),8069 元太 (平面顯示器),2383 台光電 (印刷電路板),4958 臻鼎-KY (印刷電路板),2324 仁寶 (平面顯示器),,,,,,,,,
2020-05-14,2376 技嘉 (電動車輛產業),2421 建準 (平面顯示器),8069 元太 (平面顯示器),6176 瑞儀 (平面顯示器),2324 仁寶 (平面顯示器),,,,,,,,,,
2020-05-15,4736 泰博 (醫療器材),2376 技嘉 (電動車輛產業),6223 旺矽 (LED照明產業),2382 廣達 (運動科技),,,,,,,,,,,
2020-05-18,2376 技嘉 (電動車輛產業),4736 泰博 (醫療器材),6121 新普 (能源元件),3293 鈊象 (休閒娛樂),9958 世紀鋼 (建材營造),,,,,,,,,,
2020-05-19,2376 技嘉 (電動車輛產業),,,,,,,,,,,,,,
2020-05-20,6278 台表科 (LED照明產業),2382 廣達 (運動科技),2301 光寶科 (LED照明產業),6223 旺矽 (LED照明產業),3260 威剛 (LED照明產業),,,,,,,,,,
2020-05-21,6278 台表科 (LED照明產業),2382 廣達 (運動科技),8044 網家 (電子商務),5457 宣德 (太空衛星科技),3380 明泰 (太空衛星科技),6223 旺矽 (LED照明產業),,,,,,,,,
2020-05-22,8069 元太 (平面顯示器),2382 廣達 (運動科技),6176 瑞儀 (平面顯示器),2324 仁寶 (平面顯示器),,,,,,,,,,,
2020-05-25,2382 廣達 (運動科技),2301 光寶科 (LED照明產業),2340 台亞 (LED照明產業),1795 美時 (製藥),4128 中天 (製藥),6223 旺矽 (LED照明產業),,,,,,,,,
2020-05-26,1795 美時 (製藥),3152 璟德 (通信網路),2317 鴻海 (通信網路),3045 台灣大 (通信網路),4128 中天 (製藥),,,,,,,,,,
2020-05-27,3653 健策 (半導體),4162 智擎 (製藥),3034 聯詠 (半導體),3529 力旺 (半導體),2344 華邦電 (半導體),2458 義隆 (半導體),3711 日月光投控 (半導體),6239 力成 (半導體),1795 美時 (製藥),2408 南亞科 (半導體),2379 瑞昱 (半導體),3532 台勝科 (半導體),,,
2020-05-28,9958 世紀鋼 (建材營造),3293 鈊象 (休閒娛樂),6121 新普 (能源元件),6239 力成 (半導體),3034 聯詠 (半導體),2458 義隆 (半導體),3105 穩懋 (半導體),3443 創意 (半導體),2379 瑞昱 (半導體),,,,,,
2020-05-29,3293 鈊象 (休閒娛樂),3376 新日興 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備),9958 世紀鋼 (建材營造),2317 鴻海 (通信網路),4958 臻鼎-KY (印刷電路板),2474 可成 (電腦及週邊設備),6269 台郡 (印刷電路板),3037 欣興 (印刷電路板),6213 聯茂 (印刷電路板),2548 華固 (建材營造),2377 微星 (電腦及週邊設備),2542 興富發 (建材營造),,
2020-06-01,2458 義隆 (半導體),3189 景碩 (半導體),3376 新日興 (電腦及週邊設備),3293 鈊象 (休閒娛樂),3529 力旺 (半導體),3105 穩懋 (半導體),2301 光寶科 (LED照明產業),3324 雙鴻 (電腦及週邊設備),2379 瑞昱 (半導體),2474 可成 (電腦及週邊設備),3034 聯詠 (半導體),6257 矽格 (半導體),2330 台積電 (半導體),3374 精材 (半導體),2344 華邦電 (半導體)
2020-06-02,2458 義隆 (半導體),3189 景碩 (半導體),3406 玉晶光 (LED照明產業),3376 新日興 (電腦及週邊設備),3105 穩懋 (半導體),3037 欣興 (印刷電路板),3529 力旺 (半導體),2313 華通 (印刷電路板),6269 台郡 (印刷電路板),4958 臻鼎-KY (印刷電路板),3653 健策 (半導體),2303 聯電 (半導體),3324 雙鴻 (電腦及週邊設備),2301 光寶科 (LED照明產業),6278 台表科 (LED照明產業)
2020-06-03,2458 義隆 (半導體),3406 玉晶光 (LED照明產業),2481 強茂 (半導體),6269 台郡 (印刷電路板),4958 臻鼎-KY (印刷電路板),3376 新日興 (電腦及週邊設備),3189 景碩 (半導體),3105 穩懋 (半導體),2313 華通 (印刷電路板),2303 聯電 (半導體),2301 光寶科 (LED照明產業),3711 日月光投控 (半導體),3034 聯詠 (半導體),2330 台積電 (半導體),3374 精材 (半導體)
2020-06-04,2481 強茂 (半導體),5425 台半 (半導體),3406 玉晶光 (LED照明產業),2458 義隆 (半導體),3105 穩懋 (半導體),2327 國巨 (被動元件),2330 台積電 (半導體),3374 精材 (半導體),6278 台表科 (LED照明產業),8086 宏捷科 (半導體),3711 日月光投控 (半導體),3324 雙鴻 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),2886 兆豐金 (金融),6510 精測 (半導體)
2020-06-05,2376 技嘉 (電動車輛產業),3406 玉晶光 (LED照明產業),6176 瑞儀 (平面顯示器),6278 台表科 (LED照明產業),3231 緯創 (電腦及週邊設備),2301 光寶科 (LED照明產業),2356 英業達 (電腦及週邊設備),2377 微星 (電腦及週邊設備),6414 樺漢 (電腦及週邊設備),2324 仁寶 (平面顯示器),8163 達方 (平面顯示器),3324 雙鴻 (電腦及週邊設備),2392 正崴 (平面顯示器),,
2020-06-08,3406 玉晶光 (LED照明產業),6278 台表科 (LED照明產業),6176 瑞儀 (平面顯示器),2376 技嘉 (電動車輛產業),2324 仁寶 (平面顯示器),2301 光寶科 (LED照明產業),6223 旺矽 (LED照明產業),,,,,,,,
2020-06-09,3406 玉晶光 (LED照明產業),6278 台表科 (LED照明產業),2360 致茂 (LED照明產業),2301 光寶科 (LED照明產業),6223 旺矽 (LED照明產業),,,,,,,,,,
2020-06-10,6669 緯穎 (人工智慧),2357 華碩 (人工智慧),9914 美利達 (休閒娛樂),2890 永豐金 (金融),3227 原相 (人工智慧),,,,,,,,,,
2020-06-11,3189 景碩 (半導體),5269 祥碩 (半導體),3105 穩懋 (半導體),2357 華碩 (人工智慧),3529 力旺 (半導體),6669 緯穎 (人工智慧),4938 和碩 (半導體),6271 同欣電 (LED照明產業),3653 健策 (半導體),8150 南茂 (半導體),2454 聯發科 (半導體),5274 信驊 (半導體),3227 原相 (人工智慧),2481 強茂 (半導體),6510 精測 (半導體)
2020-06-12,3189 景碩 (半導體),5269 祥碩 (半導體),3105 穩懋 (半導體),3037 欣興 (印刷電路板),3653 健策 (半導體),4938 和碩 (半導體),2303 聯電 (半導體),6271 同欣電 (LED照明產業),2383 台光電 (印刷電路板),9914 美利達 (休閒娛樂),6278 台表科 (LED照明產業),2454 聯發科 (半導體),6510 精測 (半導體),3034 聯詠 (半導體),
2020-06-15,5269 祥碩 (半導體),9914 美利達 (休閒娛樂),3105 穩懋 (半導體),4938 和碩 (半導體),2454 聯發科 (半導體),2330 台積電 (半導體),3293 鈊象 (休閒娛樂),3406 玉晶光 (LED照明產業),3264 欣銓 (半導體),2303 聯電 (半導體),3034 聯詠 (半導體),,,,
2020-06-16,3406 玉晶光 (LED照明產業),3231 緯創 (電腦及週邊設備),2376 技嘉 (電動車輛產業),9914 美利達 (休閒娛樂),3293 鈊象 (休閒娛樂),2356 英業達 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),2360 致茂 (LED照明產業),6223 旺矽 (LED照明產業),,,,,
2020-06-17,8046 南電 (印刷電路板),6274 台燿 (印刷電路板),2313 華通 (印刷電路板),2383 台光電 (印刷電路板),6213 聯茂 (印刷電路板),4958 臻鼎-KY (印刷電路板),3293 鈊象 (休閒娛樂),,,,,,,,
2020-06-18,2313 華通 (印刷電路板),3293 鈊象 (休閒娛樂),6271 同欣電 (LED照明產業),3406 玉晶光 (LED照明產業),8046 南電 (印刷電路板),3037 欣興 (印刷電路板),2383 台光電 (印刷電路板),4958 臻鼎-KY (印刷電路板),8358 金居 (印刷電路板),6213 聯茂 (印刷電路板),,,,,
2020-06-19,6278 台表科 (LED照明產業),6176 瑞儀 (平面顯示器),3293 鈊象 (休閒娛樂),3406 玉晶光 (LED照明產業),6271 同欣電 (LED照明產業),2324 仁寶 (平面顯示器),4162 智擎 (製藥),3037 欣興 (印刷電路板),4958 臻鼎-KY (印刷電路板),6213 聯茂 (印刷電路板),,,,,
2020-06-22,3231 緯創 (電腦及週邊設備),2454 聯發科 (半導體),2458 義隆 (半導體),6278 台表科 (LED照明產業),3105 穩懋 (半導體),6510 精測 (半導體),3406 玉晶光 (LED照明產業),3034 聯詠 (半導體),2379 瑞昱 (半導體),4938 和碩 (半導體),3293 鈊象 (休閒娛樂),2449 京元電子 (半導體),3189 景碩 (半導體),2356 英業達 (電腦及週邊設備),6257 矽格 (半導體)
2020-06-23,3231 緯創 (電腦及週邊設備),2458 義隆 (半導體),4938 和碩 (半導體),3034 聯詠 (半導體),3374 精材 (半導體),2454 聯發科 (半導體),2379 瑞昱 (半導體),3293 鈊象 (休閒娛樂),2449 京元電子 (半導體),3376 新日興 (電腦及週邊設備),2356 英業達 (電腦及週邊設備),6257 矽格 (半導體),2885 元大金 (金融),2385 群光 (電腦及週邊設備),6176 瑞儀 (平面顯示器)
2020-06-24,3374 精材 (半導體),2379 瑞昱 (半導體),2458 義隆 (半導體),2454 聯發科 (半導體),3034 聯詠 (半導體),3529 力旺 (半導體),3443 創意 (半導體),2449 京元電子 (半導體),2317 鴻海 (通信網路),4938 和碩 (半導體),2330 台積電 (半導體),6176 瑞儀 (平面顯示器),2324 仁寶 (平面顯示器),4743 合一 (製藥),9914 美利達 (休閒娛樂)
2020-06-29,3374 精材 (半導體),3231 緯創 (電腦及週邊設備),3035 智原 (半導體),3443 創意 (半導體),6510 精測 (半導體),9914 美利達 (休閒娛樂),2317 鴻海 (通信網路),4938 和碩 (半導體),3034 聯詠 (半導體),3189 景碩 (半導體),2458 義隆 (半導體),2449 京元電子 (半導體),2379 瑞昱 (半導體),3152 璟德 (通信網路),2330 台積電 (半導體)
2020-06-30,3037 欣興 (印刷電路板),3231 緯創 (電腦及週邊設備),8046 南電 (印刷電路板),9914 美利達 (休閒娛樂),6414 樺漢 (電腦及週邊設備),2356 英業達 (電腦及週邊設備),2383 台光電 (印刷電路板),6269 台郡 (印刷電路板),3017 奇鋐 (電腦及週邊設備),3324 雙鴻 (電腦及週邊設備),,,,,
2020-07-01,6414 樺漢 (電腦及週邊設備),3037 欣興 (印刷電路板),8046 南電 (印刷電路板),9914 美利達 (休閒娛樂),3231 緯創 (電腦及週邊設備),2377 微星 (電腦及週邊設備),6269 台郡 (印刷電路板),2368 金像電 (印刷電路板),2356 英業達 (電腦及週邊設備),2474 可成 (電腦及週邊設備),2383 台光電 (印刷電路板),4958 臻鼎-KY (印刷電路板),3017 奇鋐 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),
2020-07-02,2379 瑞昱 (半導體),3374 精材 (半導體),3037 欣興 (印刷電路板),6269 台郡 (印刷電路板),8046 南電 (印刷電路板),8086 宏捷科 (半導體),3711 日月光投控 (半導體),6510 精測 (半導體),3443 創意 (半導體),2458 義隆 (半導體),2449 京元電子 (半導體),3529 力旺 (半導體),3034 聯詠 (半導體),5269 祥碩 (半導體),2376 技嘉 (電動車輛產業)
2020-07-03,6223 旺矽 (LED照明產業),6269 台郡 (印刷電路板),3443 創意 (半導體),3037 欣興 (印刷電路板),2379 瑞昱 (半導體),3034 聯詠 (半導體),2330 台積電 (半導體),3711 日月光投控 (半導體),2458 義隆 (半導體),2449 京元電子 (半導體),2383 台光電 (印刷電路板),2376 技嘉 (電動車輛產業),6510 精測 (半導體),8044 網家 (電子商務),2368 金像電 (印刷電路板)
2020-07-06,6269 台郡 (印刷電路板),3037 欣興 (印刷電路板),3443 創意 (半導體),3034 聯詠 (半導體),2449 京元電子 (半導體),6223 旺矽 (LED照明產業),3231 緯創 (電腦及週邊設備),2379 瑞昱 (半導體),2330 台積電 (半導體),5269 祥碩 (半導體),8299 群聯 (半導體),2458 義隆 (半導體),2368 金像電 (印刷電路板),6257 矽格 (半導體),2313 華通 (印刷電路板)
2020-07-07,3443 創意 (半導體),2449 京元電子 (半導體),3034 聯詠 (半導體),3374 精材 (半導體),3529 力旺 (半導體),2379 瑞昱 (半導體),6257 矽格 (半導體),3376 新日興 (電腦及週邊設備),3105 穩懋 (半導體),3152 璟德 (通信網路),3260 威剛 (LED照明產業),5388 中磊 (通信網路),,,
2020-07-08,3443 創意 (半導體),3374 精材 (半導體),2454 聯發科 (半導體),3034 聯詠 (半導體),3105 穩懋 (半導體),2449 京元電子 (半導體),3529 力旺 (半導體),9914 美利達 (休閒娛樂),2379 瑞昱 (半導體),,,,,,
2020-07-09,3443 創意 (半導體),3034 聯詠 (半導體),2449 京元電子 (半導體),3374 精材 (半導體),9914 美利達 (休閒娛樂),6510 精測 (半導體),2379 瑞昱 (半導體),3653 健策 (半導體),8086 宏捷科 (半導體),2330 台積電 (半導體),2458 義隆 (半導體),3529 力旺 (半導體),8299 群聯 (半導體),2382 廣達 (運動科技),2303 聯電 (半導體)
